country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Liberia,,48.4,,,,,,,,,,,,,,,,,,,,,37.9,,,,,,35.9,,,,,
Madagascar,,,,,,,,36.9,,,,,40.4,,,,,,,38.8,,,,,48.2,,,,41.2,,,,,
Malawi,,,,,,,,54.9,,,,,,,,46.9,,,,48.9,,50.2,,,,49.6,,,,,42.1,42.1,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,,,2.2,
Mali,,,78.1,,,,,,,,,69.9,,,,,65.4,,,,,70.6,,,,55,,,59.6,,51.5,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,26.3,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,37.2,,,,,,35.4,,,,34.3,,,,37,,,
Mexico,,,27.6,,,,,,,,,,,,,,,,,,,22.7,,,22.9,,,,,,26.1,,,
Moldova,,,,,,,,,,,,,,,,,,,,,18.9,,,,,,,12.2,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,9,,3.9,,4.7,,,5.2,,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,4.8,4.8,,,,,,,4.5,,,,,
Morocco,,,24,,,,,18.4,,,,,,,,,,,,15.9,,,,,,,,,,,,,,
Mozambique,,,,,,,,,,,,,56.6,,,,,,55.9,,,,,51.8,56.2,,48.2,,,,52.9,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,,
Namibia,,,,,,,,11.4,,,,,,,,9.8,,,,,,,8.5,,,,,,6.9,,,,,
Nauru,,,,,,,,,,,,,,,,,,,,,,,26.8,,,,,,,,,,,
Nepal,,,,,,,,,,,,60.3,,,,,56.1,,,,,51.4,,,,,40.7,,,36.6,,39.5,,
Nicaragua,,,,,,,,,,,,,,50.3,,,43.3,,,,,40.6,40.6,,,,,35.2,,,,,,
Niger,,,,,,,,83.5,,,,,,76.6,,,,,,,,74.5,,,,,,76.3,,,,,,
Nigeria,,,,,,51.9,,,,,,,,,39.6,,,,43.3,,,,,39.4,,,39,,42.8,,,,43.5,
North Macedonia,,,,,,,,,,,,,,,,,,,,,3.6,,,,,,6.9,,,,,,,
Pakistan,,,,,,,31.6,,,,,,,,,,,,,,,,24,,,,,,21,,,,,18.3
Palestine,,,,,,,,,,,,,,,,,,,,18.9,,,,,,20.6,,,,15.3,,,,
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.4,,,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,21.3,,,,,,,,,,,,
Paraguay,,,,,,24.2,,,,,,,,,,,,,,17.9,,,,,,,,,,,,21.6,,
Peru,,19.9,,,,,,17.7,,,,21.3,,,,18.7,,,,,,17.5,,17.5,19,20.1,18.8,19.1,,18.6,21.5,,,
Philippines,,,,,,,,,14.2,,,,,14.6,,,,,14,,,,,14.2,,,,,15,,,,16.5,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,
Rwanda,,,,,,,,14.8,,,,,,,,19.5,,,,,13.3,,,,,8.1,,,,,6.8,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,33.4,,,34.4,,,,,35.4,,,,
Senegal,,58.8,,,,,,,47.7,,,,36.1,,,,,,,,39,,,,,,32.9,,29.8,32.3,31,31.5,28.8,
Serbia,,,,,,,,,,,,,,,,,,,,,,5.8,,,,5,,,3.2,3.2,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,55.6,,,47.9,,43.7,,,38.9,,,,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,22.4,,,,,,,,21.3,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,45.3,,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,7.9,,,,,5.6,,,,,,,,,,,,,3.6,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,51.5,,,,,,,,
Sri Lanka,,,13.7,,,,,,,,,,,,,,,,,,,,11.8,,,,,,,,,,,
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,
